speaker	utt	act	act	slots	poi
driver	Yes and pick the fastes route please				
assistant	The address for Starbucks is 792 Bedoin Street			{"address": "Starbucks"}	
driver	what are the directions to the nearest chinese restaurant				
driver	Car I need to fill your gas, please show me a gas station near me in the direction we're actually driving				
assistant	Going to The Westin.			{"traffic_info": "no traffic", "poi": "the westin"}	
assistant	638 Amherst St, I sent its position on your screen			{}	
assistant	I see one nearby coffee shop which is Cafe Venetia located at 269 Alger Dr it is 4 miles away and there is no traffic.			{"poi_type": "coffee shop"}	
assistant	Setting navigation to Webster Garage.			{"poi": "Webster garage", "distance": "3 miles away", "traffic_info": "quickest route", "poi_type": "parking garage", "address": "880 Ames Ct"}	
driver	Thanks. I hope we miss most of it.				
assistant	383 University Ave, it's 5 miles away but there is heavy traffic on our way			{"poi": "town and country"}	
assistant	You're welcome, have a great day.			{}	
driver	Pick the fastest route for me car, thank you!				
assistant	There are Palo Alto Cafe and Starbucks 1 miles away: which one do you prefer?			{"distance": "closest", "poi_type": "coffee shop"}	
driver	Actually, can I get the address for my home?				
driver	Find a grocery market for me please.				
driver	Pick the quickest one and show me the quick route to reach, please				
driver	OK, what is the address and how close is it?				
driver	Where can I go shopping?				
driver	Some other coffee.				
assistant	There is just The Westin, it's 4 miles away			{"distance": "around here", "poi_type": "hotels"}	
driver	Please pick the quickest route to get there				
driver	Yes get me the address.				
assistant	The only rest stop is 6 miles away.			{"traffic_info": "within 2 miles", "poi_type": "rest stop"}	
assistant	You can find the route on your GPS. You're welcome!			{"poi": "shell"}	
driver	Set my navigation to Jacks for the shortest route possible.				
assistant	Papa Johns and Round Table are both near.			{"poi_type": "pizza"}	
assistant	There is Cafe Venetia 1 miles away and a couple of other farther options			{"distance": "nearby", "poi_type": "cafe"}	
assistant	There is Philz 1 miles away or Palo Alto Cafe 3 miles from here: which one do you prefer?			{"poi_type": "coffee house"}	
assistant	There is Town and Country 5 miles away, it should be perfect for you!			{"distance": "nearby", "poi_type": "Malls"}	
driver	find me somewhere to park				
driver	Yes I need the fastest route please.				
driver	Cool, thanks.				
assistant	You should go back home at 10 ames street, you sound confused, I'm worried for you!			{"poi_type": "home", "poi": "home"}	
driver	show me directions to the nearest starbucks				
driver	Got it, thanks!				
driver	That's great! Please send me the route on screen and avoid all heavy traffic				
driver	Where is the nearby hospital?				
assistant	You're welcome, navigating you to 792 Bedoin Street!			{"traffic_info": "avoid all heavy traffic", "poi": "starbucks"}	
driver	Thank you car, you rock!				
driver	Sure, thanks!				
driver	send me to the nearest gas station				
driver	Great, thanks				
assistant	Here is the quickest route to Pizza my Heart.			{"traffic_info": "quickest"}	
driver	I need to find a hospital quickly, without any heavy traffic				
assistant	Setting navigation to 113 Arbol Dr. There is currently no traffic on the route.			{"distance": "nearest", "traffic_info": "fastest route", "poi_type": "chinese restaurant", "poi": "Jing Jing"}	
driver	Yes please.				
driver	Set navigation for quickest route.				
driver	Thanks.				
assistant	Home is located at 10 Ames Street. Setting navigation now.			{"distance": "how far away (4 miles)", "traffic_info": "quickest route", "poi_type": "home", "poi": "home"}	
driver	Thank you , car.				
assistant	Anytime!			{}	
driver	Okay, give me the details for Panda Express then				
assistant	I sent all the info on your screen, you're welcome!			{"distance": "shortest distance"}	
assistant	I have a pizza restaurant located 1 mile away.			{"distance": "2 miles", "poi_type": "pizza restaurant\t"}	
driver	car please show the possible routes to get home				
assistant	We're heading at Trader Joes, 408 University Ave, it's 5 miles away			{"poi_type": "grocery store"}	
driver	The place with the least traffic please.				
assistant	You're welcome. Drive carefully	and enjoy.	and enjoy.		{}
driver	take me to the nearest hotel				
assistant	We are 5 miles away from Cafe Venetia but there is heavy traffic on our way			{"distance": "nearest", "poi_type": "place to get coffee"}	
driver	can you tell me where the nearest rest stop is				
driver	OK. Pick one at random and let's go!				
driver	take me to the nearest starbucks				
driver	Where can I get pizza?				
driver	Is there a parking garage around here?				
driver	Get me the address of a chinese restaurant around this area.				
assistant	The nearest one is the Four Seasons, it's 3 miles away. But if you prefer there is also the Travelers Lodge that's 6 miles away			{"distance": "nearest", "poi_type": "rest stop"}	
assistant	There is a gas station 1 mile from your location, would you like me to pull it up?			{"poi_type": "gas station"}	
assistant	There is only heavy traffic noted but it's only 1 mile away so we should arrive quickly.			{"traffic_info": "heavy"}	
driver	Car I want to do some shopping in some local shopping center: is there any nearby?				
driver	Yes, please pick a quick route to go there and send it on my screen!				
assistant	Setting GPS to 113 Anton Ct to go to Round Table.			{"poi": "round table"}	
assistant	There is a road block nearby but I already sent on your screen a route to go around it			{}	
driver	Where can I get some tea.				
driver	Locate my friend's current address for me.				
driver	Yes sounds good.				
driver	Please give me the address and directions to the restaurant via a route that avoids heavy traffic.				
assistant	Done. There is only moderate traffic on the route home.			{"traffic_info": "No heavy traffic", "poi": "home"}	
driver	Yes.				
assistant	Alright, heading to Trader Joes			{}	
assistant	Valero has no traffic in the route.			{}	
assistant	Stanford Shopping Center is the closest mall at 2 miles away located at 773 Alger Drive.			{"distance": "closest", "poi": "mall"}	
driver	Where is the nearest pizza place?				
assistant	Stereo is playing "Nothing Else Matters" now. You're welcome!			{}	
assistant	your welcome.			{}	
driver	Set the GPS, thank you.				
driver	Thank you car, set the GPS to go there on the fastest route, please				
assistant	Safeway has less traffic.			{"traffic_info": " less traffic"}	
assistant	The nearest grocery store is whole foods at 819 Alma St, 1 mile away. Would you like directions there?			{"distance": "nearest", "poi_type": "grocery store"}	
assistant	Navigation set and we should be there shortly. You're welcome.			{"distance": "Fastest"}	
assistant	I sent the best possible route on your screen, drive carefully!			{"traffic_info": "avoid all heavy traffic"}	
assistant	Home is 5 miles away, this route does not have any traffic			{"traffic_info": "quickest route"}	
assistant	I sent on your screen the best route available, drive carefully!			{"distance": "quick route"}	
assistant	Stanford Oval Parking and Webster Garage are both close.			{"distance": "nearby", "poi_type": "parking garage"}	
assistant	There is currently no traffic on the way to home, 1 mile away.			{"poi": "home", "traffic_info": "traffic status", "poi_type": "home", "address": "10 Ames Street"}	
driver	Patience, please set the GPS to go there, thank you!				
assistant	Stanford Oval Parking is 2 miles away.			{"poi_type": "parking garage"}	
driver	Is there a hospital within 5 miles?				
assistant	The nearer Chinese restaurant is P.F. Changs, it's 1 miles away: would you like to go there?			{"distance": "quickest", "poi_type": "chinese spot"}	
driver	Thank you.				
assistant	Setting the quickest route now.			{"distance": "quick"}	
assistant	Starbucks is at 792 Bedoin Street.			{}	
driver	Where can I get Chinese food?				
assistant	No problem.			{}	
driver	OK, please direct me there via the fastest route.				
assistant	Noooooooo problem!			{}	
driver	Is the Starbucks within 5 miles of here? If so, please direct me to the Starbucks via the quickest route.				
driver	can you please take me to a coffee house				
assistant	No problem, I'm here to assist you! The coordinates are on screen, drive carefully!			{"traffic_info": "avoid all heavy traffic please"}	
assistant	Yes, there is no traffic, so it should be quick. I will display the directions now.			{"distance": "within 2 miles"}	
driver	give me directions to the nearest shopping mall				
assistant	76 at 91 El Camino Real is the only gas station that I can find. It is 4 miles away through heavy traffic			{"traffic_info": "least amount of traffic", "poi_type": "gas station"}	
assistant	You're welcome, the info are on the screen, drive carefully!			{"distance": "fastest route", "poi": "sigona farmers market"}	
assistant	There is a Starbucks 4 miles away from here: would you like me to give you the coordinates on the screen?			{"distance": "closest", "poi": "Starbucks"}	
driver	Can you find me the nearest pizza restaurant?				
driver	Is there supposed to be any traffic?				
assistant	Setting navigation to Shell now.			{"poi": "shell", "distance": "nearest (3 miles away)", "traffic_info": "quickest route", "poi_type": "gas station", "address": "53 University ave"}	
assistant	You're welcome driver.			{"distance": "nearest", "poi_type": "hotel", "poi": "Four Seasons"}	
driver	Car I desire to eat Chinese today, please pick a restaurant within 5 miles and avoid all heavy traffic				
driver	Yes, please, and thank you!				
driver	Yes, please.				
assistant	The restaurant's address is 915 Arbol Dr, I sent on your screen the best available route			{"traffic_info": "route that avoids all heavy traffic", "poi": "Pizza Chicago"}	
assistant	Setting navigation to the Chevron now.			{"poi": "chevron", "distance": "nearest", "traffic_info": "quickest route", "poi_type": "gas station", "address": "783 arcadia pl"}	
driver	Yes please, the address.				
driver	Is there any traffic?				
driver	directions to local cafe				
assistant	In this moment there is moderate traffic on our way but the house is only 5 miles far, you should be able to reach it fast enough			{"traffic_info": "no traffic"}	
driver	Then pick a quick route and let's go there, thank you!				
driver	show me directions to the nearest grocery store				
assistant	Your friend house is on 347 Alta Mesa Ave: do you want me to set the GPS to that location?			{"poi_type": "friends house", "address": "address"}	
driver	Thank you, car.				
assistant	We're 2 miles away from Sigona Farmers Market: is it be okay to go there?			{"distance": "nearest", "poi_type": "grocery store"}	
driver	find the nearest parking garage				
assistant	Do you want me to set the GPS?			{}	
driver	Well Jill is closer so let's go there.				
assistant	There is heavy traffic but I picked another route for you. I sent all the info on your screen, drive carefully!			{"poi": "stanford childrens health"}	
assistant	You're welcome.			{"poi": "starbucks"}	
assistant	It is Palo Alto Garage R at 481 Amaranta Ave.			{}	
assistant	There are 2 available hospitals and both are 6 miles away with heavy traffic on their direction. Which one do you prefer between Palo Alto Medical Foundation and Stanford Express Care?			{"distance": "quickest route", "poi_type": "hospital"}	
driver	Yes please.				
driver	Please guide me to the closest parking garage.				
driver	I want pizza.				
driver	Please pick the quickest available route and send the info on my screen				
driver	Yes Shell sounds great.				
driver	Please send me her address on screen and pick a route with no traffic to get there, thank you!				
assistant	The closest chinese restaurant is PF Changs, located 5 miles away.			{"distance": "closest", "poi_type": "chinese restaurant"}	
assistant	776 Arastradero Rd, we're 3 miles away			{}	
driver	I need a hospital within 5 miles of me and the quickest route please.				
assistant	Your home address is 5671 barringer street			{}	
assistant	No problem!			{}	
assistant	Jill's house is 5 miles away but there is a road block nearby. Tom's house is 8 miles away but we should pass through the same road block			{"distance": "closest to my location"}	
driver	What is the traffic like, and can you send me directions?				
driver	please find me directions to a nearby place i can get some coffee				
driver	direct me to the nearest starbucks				
assistant	The current given route is the quickest one			{}	
driver	Whats the nearest shopping center to me, and I need the quickest route.				
assistant	Taking you to Cafe Venetia.			{"traffic_info": "no traffic", "poi": "Cafe Venetia"}	
assistant	The garage is  miles away without any traffic, You can find it at 880 Ames Ct			{"distance": "shortest distance"}	
driver	Sounds like a plan, thank you.				
driver	Perfect, thanks.				
assistant	Starbucks is 1 mile away at 792 Bedoin Street.			{"poi": "Starbucks"}	
assistant	There is a Chef Chu's 3 miles away and Jing Jing 6 miles away, which do you prefer?			{"poi_type": "chinese restaurant"}	
driver	Sounds awesome, thanks.				
assistant	You're welcome. Have a great day.			{"poi": "round table"}	
driver	Yes, please set a quick route to go there, thank you!				
driver	where is the closest place to eat				
driver	Are they within 3 miles?				
driver	Please set the GPS to this location.				
driver	Are there any detours avalible?				
assistant	You're welcome, just follow your GPS now, I've picked for you the fastest route			{"distance": "quickest route"}	
driver	Would you give me the address for the Palo Alto Cafe and set the quickest route there please?				
driver	Let's go at Willow please send the direction on my screen, thank you car!				
driver	Car I need to rest in a hotel, please send me the quickest option available				
driver	Set my GPS for the quickest route now.				
assistant	You're welcome, always happy to help.			{}	
assistant	You are welcome.			{"poi": "hotel keen"}	
driver	Please give me the fastest route.				
assistant	Then we're navigating to Hotel Keen, its address is 578 Arbol Dr. There is moderate traffic and you should be able to reach in just few minutes			{"traffic_info": "avoid all heavy traffic"}	
driver	Where is the parking garage in the area?				
driver	where's parking				
assistant	There is moderate traffic to Pizza My Heart 1 mile away at 528 Anton Ct			{"distance": "closest", "poi_type": "pizza"}	
assistant	Philz is at 583 Alester Ave.			{}	
driver	Thanks can you show me the address please?				
assistant	I did, the info are on your map, you're welcome!			{}	
driver	i need directions to my house and avoid all heavy traffic				
assistant	Setting navigation now. You're welcome.			{"poi": "home", "poi_type": "home", "address": "5671 barringer street"}	
driver	Awesome thanks				
assistant	The nearest shopping center is 7 miles away.			{"poi_type": "shopping center"}	
assistant	Home at 5671 barringer street is a 1 mile drive, but be aware there is a road block nearby			{"poi_type": "home"}	
driver	Thanks, let's go there.				
driver	get me directions to a local cafe				
assistant	There is heavy traffic on the route to Palo Alto Medical Foundation 4 miles away			{"poi": "Palo Alto"}	
assistant	Home is 5 miles away at 5671 Barringer Street.			{"poi": "home"}	
driver	give me directions to the local coffee shop				
driver	Any other options?				
driver	Stanford Oval please.				
assistant	Currently Town and Country is the only option.			{"traffic_info": "no traffic"}	
assistant	Stanford Childrens hospital is 7 miles away through moderate traffic. It is located at 899 Ames Ct.			{"distance": "nearest", "poi_type": "hospital"}	
driver	get me directions to the nearest chinese restaurant				
assistant	Travelers Lodge is at 333 Arbol Dr. and I have set the GPS.			{"traffic_info": "fastest"}	
assistant	You're very welcome!			{}	
driver	navigate me to the nearest hotel				
assistant	What is the address to your friends house?			{"poi": "friends house"}	
assistant	Okay great, we will navigate there then. Anything else?			{}	
assistant	The address is 436 Alger Dr, and it is 5 miles away.			{"poi": "palo alto cafe", "address": "436 Alger Dr"}	
assistant	I'm sorry but I don't have this address in my memory: can you give me further details?			{}	
assistant	It's 7 miles away and there is heavy traffic on our way, it won't be fast			{"distance": "quick route"}	
assistant	The closest shop is 4 miles away with no traffic. It's called Cafe Venetia and is located at 269 Alger Drive. Would you like me to set the GPS?			{"distance": "quickest"}	
assistant	Your home is at 10 ames street.			{"distance": "near ", "poi_type": "home "}	
driver	Okay, will I encounter any traffic along the way?				
assistant	There is a Chevron 1 mile away.			{"traffic_info": "least amount of traffic", "poi_type": "gas station"}	
driver	Okay, send me a route there that avoids all heavy traffic				
assistant	No problem			{}	
assistant	Unfortunately Philzis the only coffee or tea place that I can find. It is located at 583 Alester Ave, there is heavy traffic on this route			{"traffic_info": "no traffic", "poi": "starbucks"}	
driver	Car I want pizza, please send me the address of any pizza restaurant nearby				
driver	Yes, please, show me a quick route to go there, thank you!				
driver	Set GPS for quickest possible route please.				
assistant	Chevron located at 783 Arcadia Pl is the nearest gas station which is 2 miles away.			{"distance": "nearest", "poi_type": "gas station"}	
driver	Yes and avoid all heavy traffic please.				
driver	navigate to the nearest mall				
assistant	Unfortunately there is a car collision nearby but I sent on your screen another road that should allow you to reach the garage fast enough			{"distance": "quickest route", "poi": "Palo Alto Garage"}	
driver	OK, please give me the address and directions via a quick route.				
driver	Ok let's go there then.				
driver	Where can I find a hospital?				
assistant	Navigating to 610 Amarillo Ave.			{"distance": "nearby (5 miles away)", "traffic_info": "no traffic", "poi_type": "garage parking", "poi": "Stanford Oval"}	
assistant	Trader Joes is at 408 University Ave.			{}	
driver	Uhh ok well I still need to park so what's the address?				
assistant	There are two chinese restaurants nearby. P.F.Changs and Tai Pan, which one would you prefer?			{"distance": "nearest", "poi_type": "restaurant"}	
driver	search for nearby starbucks				
driver	where's the nearest place to get lunch				
assistant	Nearest hospital is located at 611 Ames Ave. called Palo Alto Medical Foundation.			{"distance": "fastest", "poi_type": "hospital "}	
assistant	directing you to 5671 barringer street now			{"distance": "4 miles", "traffic_info": "quickest route", "poi_type": "house", "poi": "home"}	
assistant	The gas station likely to be quickest is the Shell at 53 University Ave, 1 miles away. Would you like directions there?			{"traffic_info": "quickest way", "poi_type": "gas station"}	
driver	give me directions to the nearest place where i can have a cup of tea				
driver	Then let's use this, thank you car!				
assistant	I sent the info on your screen, you should arrive in less than 2 minutes			{"distance": "fastest route", "traffic_info": "no traffic", "poi": "Philz"}	
driver	Is there a way around the traffic?				
driver	Ok, can you get us there?				
assistant	You're welcome, happy to be of assistance.			{}	
assistant	I'm sorry but there isn't any Philz nearby. May I help you somehow else?			{"poi": "Philz"}	
driver	find a tea shop				
driver	Give me the address and the fastest route there				
assistant	The closest hospital is Standford Chrildrens Health hospital.			{"distance": "closest", "poi_type": "hospital"}	
assistant	Have a great day, happy to help.			{"poi": "starbucks"}	
driver	Yes please set the navigation. Thanks.				
assistant	Setting the quickest route to home at 5672 Barringer Street.			{"distance": "quick"}	
assistant	The quickest route home is an 8 mile drive through heavy traffic.			{"traffic_info": "quickest route", "poi": "home"}	
driver	Sounds good, navigate me there please.				
driver	What's the address?				
driver	Please pick the quickest route for me and let's go there, thanks!				
driver	Sure, and avoid all heavy traffic please				
assistant	Chevron is 5 miles away and Valero is 1.			{"poi_type": "gas"}	
assistant	The nearest gas station is 8 miles away. Need more info?			{"poi_type": "gas station"}	
driver	Yes, please pick a quick route and send it on my screen!				
driver	Yes, please, show me the fastest route to go there!				
assistant	Sigona Farmers Market is 4 miles away.			{"poi_type": "grocery market"}	
driver	Thank you car assistant, make sure the route is the shortest distance.				
driver	Okay, where is Pizza My heart?				
driver	Can you set navigation and get us there?				
assistant	113 Anton Ct, there is no traffic and you should be able to reach there quickly			{"distance": "quickest route", "poi": "round table"}	
assistant	Ouch, I set the GPS to your address, we're 4 miles away: please drive carefully!			{"distance": "around here", "poi_type": "home", "poi": "home"}	
driver	Let's go to Tom's please.				
driver	Which has the least amount of traffic at the moment.				
assistant	The nearest Chinese restaurant is at Jing Jing. Want more details?			{"distance": "nearby", "poi_type": "chinese restaurant"}	
driver	Which is within 3 miles?				
assistant	Unfortunately there is a road block nearby but I sent on your screen another route to reach the hospital in the shortest time			{"distance": "quick route", "poi": "stanford express care"}	
assistant	Setting GPS for fastest route to Midtown Shopping Center.			{"distance": "fastest"}	
driver	please give me directions to a nearby parking garage parking lot				
driver	Which has less traffic?				
assistant	There are no local Starbucks.			{"poi": "starbucks"}	
assistant	Mandarin Roots chinese restaurant is 4 miles away with heavy traffic. It is located at 271 Springer Street			{"distance": "how close"}	
driver	Please give me an address and directions by the fastest route with no traffic to a chinese restaurant.				
assistant	The closest parking garage is Webster Garage at 880 Ames Ct. There is a car collision nearby but it is 3 miles away.			{"distance": "closest", "poi_type": "parking garage"}	
assistant	You're welcome, have a good day.			{"poi": "teavana"}	
assistant	There is a Pizza Chicago 1 mile away.			{"poi_type": "pizza"}	
assistant	You're welcome. Have a good day.			{"poi": "jills house"}	
assistant	The 76 gas station is located at 91 El Camino Real. It is 4 miles away through moderate traffic			{}	
driver	Is there any traffic on the way there?				
assistant	The nearest Starbucks is 6 miles away at 792 Bedoin Street.			{"distance": "nearest ", "poi": "starbucks"}	
driver	I need a route with no traffic please.				
driver	Their coffee isn't that good but patience.. Please avoid all heavy traffic and let's go there!				
driver	Please give me the address and directions via the quickest route to a hospital around me.				
assistant	The address for Palo Alto Medical Foundation is 611 Ames Ave.			{}	
assistant	I sent the info on your screen, you're welcome!			{}	
driver	Anything else around?				
driver	Thanks for directions via the quickest route.				
driver	Yes please find the quickest route.				
driver	Car I need to get to a rest stop, please pick something with a quick route within 2 miles from here				
assistant	You're welcome, glad I could help.			{}	
driver	Yes, please direct me via the shortest distance.				
driver	Then pick the fastest route and let's go there, thank you!				
assistant	There is Trader Joes 5 miles away: would you like to get more info?			{"distance": "nearest", "poi_type": "grocery store"}	
assistant	Stanford Express Care is 5 miles away with no traffic. Would you like directions there?			{"traffic_info": "no heavy traffic", "poi_type": "hospital"}	
assistant	The address is 338 Alester Ave, I sent its position on your map			{}	
assistant	You're welcome.			{}	
assistant	Setting navigation now.			{"poi": "webster garage", "distance": "closest (2 miles away)", "traffic_info": "no traffic", "poi_type": "parking garage", "address": "880 ames ct"}	
assistant	You're welcome, happy to help.			{}	
assistant	There is a road block nearby but this is the only route I can find to the Whole Foods			{"traffic_info": "no traffic"}	
driver	Patience, please show me the quickest way to get there, thanks!				
assistant	The hospital is located at 899 Ames Ct, 7 miles away. Would you like directions?			{"distance": "closest", "poi_type": "hospital", "poi": "Stanford Childrens Health hospital"}	
assistant	Happy to be of service. Directions will begin now.			{"poi": "the clement hotel"}	
driver	find nearest chinese restaurant				
driver	That's it, thank you car!				
driver	Yes, thank you car, let's go!				
driver	Where is Chevron?				
assistant	We're 6 miles away from Starbucks and there is a road block nearby: do you want to go there anyway?			{"distance": "nearest", "poi_type": "coffee shop"}	
assistant	Currently Town and Country is the only one i have listed. Should i set GPS anyway?			{"traffic_info": "heavy traffic", "poi_type": "shopping mall"}	
driver	Car there should be my friends house around here: do you see it on the map?				
assistant	The nearer parking garage is Stanford Oval Parking 1 miles away but I have 2 other farther options for you			{"distance": "around here", "poi_type": "paking garage"}	
driver	Car I'm desiring coffee: which one is the closest to my position?				
assistant	GPS set for quickest route to Topanga Mall.			{"distance": "quickest "}	
driver	Get me the address to my nearest friend's house.				
assistant	I sent to your screen a route with no traffic: drive carefully!			{"poi": "Teavana"}	
assistant	You're welcome	drive safely.	drive safely.		{}
assistant	I sent the quickest route on your screen, drive carefully!			{"distance": "quickest route"}	
driver	Mmm, yes, I'll give them a call from home, please show me the fastest route to go back, thank you!				
driver	OK, please direct me there via a route that avoids all heavy traffic.				
driver	Where can I get tea?				
assistant	You're very welcome. Have a great day.			{}	